"x_a","x_b","e_star_a","e_star_b","e_hat_a","e_hat_b","e_a_star","npv_a_star","npv_b_star","npv_a_hat","npv_b_hat","V_star","WTP_A","WTA_B","accept"
66.7,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,40.3477308354601,5427.5576438522,-7813.58090693294,9060.88904290068,-5135.29661849149,1963.97710625458,7096.9119366461,-5135.29661849149,TRUE
66.7,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,29.4516512969433,5427.5576438522,-5606.72448180208,9060.88904290068,-2928.44019336063,2081.31666214023,6979.57238076045,-2928.44019336063,TRUE
66.7,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,26.271876290636,5427.5576438522,-3399.86805667122,9060.88904290068,-721.583768229773,2152.36149039697,6908.52755250371,-721.583768229773,TRUE
66.7,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026727298,5427.5576438522,-1193.01163154036,9060.88904290068,1485.27265690108,2196.87415334012,6864.01488956056,1485.27265690108,TRUE
66.7,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026726361,5427.5576438522,1013.84479359049,9060.88904290068,3692.12908203194,2223.3722952709,6837.51674762978,3692.12908203194,TRUE
66.7,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.1594601931135,5427.5576438522,3220.70121872135,9060.88904290068,5898.9855071628,2237.05178361866,6823.83725928202,5898.9855071628,TRUE
66.7,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.824573646921,5427.5576438522,5427.5576438522,9060.88904290068,8105.84193229365,2242.13227197135,6818.75677092933,8105.84193229365,FALSE
66.7,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6514937135762,5427.5576438522,7634.41406898306,9060.88904290068,10312.6983574245,2240.67368311976,6820.21535978092,10312.6983574245,FALSE
66.7,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054945049,5427.5576438522,9841.27049411392,9060.88904290068,12519.5547825554,2230.57007138465,6830.31897151603,12519.5547825554,FALSE
66.7,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980090297835,5427.5576438522,12048.1269192448,9060.88904290068,14726.4112076862,2216.33754739222,6844.55149550846,14726.4112076862,FALSE
77.8,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,40.3477268422462,7634.41406898306,-7813.58090693294,11267.7454680315,-5135.29661849149,2074.97710625458,9192.76836177696,-5135.29661849149,TRUE
77.8,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,29.4516512970387,7634.41406898306,-5606.72448180208,11267.7454680315,-2928.44019336063,2192.31666214023,9075.42880589131,-2928.44019336063,TRUE
77.8,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,26.2718762872778,7634.41406898306,-3399.86805667122,11267.7454680315,-721.583768229773,2263.36149039697,9004.38397763457,-721.583768229773,TRUE
77.8,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026731681,7634.41406898306,-1193.01163154036,11267.7454680315,1485.27265690108,2307.87415334012,8959.87131469142,1485.27265690108,TRUE
77.8,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026735121,7634.41406898306,1013.84479359049,11267.7454680315,3692.12908203194,2334.3722952709,8933.37317276064,3692.12908203194,TRUE
77.8,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.1594602079596,7634.41406898306,3220.70121872135,11267.7454680315,5898.9855071628,2348.05178361866,8919.69368441288,5898.9855071628,TRUE
77.8,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.8245736503525,7634.41406898306,5427.5576438522,11267.7454680315,8105.84193229365,2353.13227197135,8914.61319606019,8105.84193229365,TRUE
77.8,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6519719303421,7634.41406898306,7634.41406898306,11267.7454680315,10312.6983574245,2351.67369213611,8916.07177589543,10312.6983574245,FALSE
77.8,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054938813,7634.41406898306,9841.27049411392,11267.7454680315,12519.5547825554,2341.57007138465,8926.17539664689,12519.5547825554,FALSE
77.8,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980090302063,7634.41406898306,12048.1269192448,11267.7454680315,14726.4112076862,2327.33754739222,8940.40792063932,14726.4112076862,FALSE
88.9,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,40.3477307207474,9841.27049411392,-7813.58090693294,13474.6018931624,-5135.29661849149,2185.97710625458,11288.6247869078,-5135.29661849149,TRUE
88.9,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,29.4516512969726,9841.27049411392,-5606.72448180208,13474.6018931624,-2928.44019336063,2303.31666214023,11171.2852310222,-2928.44019336063,TRUE
88.9,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,26.2718762915041,9841.27049411392,-3399.86805667122,13474.6018931624,-721.583768229773,2374.36149039697,11100.2404027654,-721.583768229773,TRUE
88.9,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026726847,9841.27049411392,-1193.01163154036,13474.6018931624,1485.27265690108,2418.87415334012,11055.7277398223,1485.27265690108,TRUE
88.9,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026742712,9841.27049411392,1013.84479359049,13474.6018931624,3692.12908203194,2445.3722952709,11029.2295978915,3692.12908203194,TRUE
